sim_time,tl_phase,total_vehicles,total_waiting_time,avg_waiting_time,north_count,north_wait,south_count,south_wait,east_count,east_wait,west_count,west_wait,queue_north,queue_south,queue_east,queue_west,intA_wait,intB_wait,intC_wait,emergency_count,controller_state,controller_reason,rl_override,max_q_value,override_rate
1.0,0,8,0.0,0.0,2,0.0,2,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
2.0,0,12,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
3.0,0,14,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
4.0,0,14,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
5.0,0,16,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
6.0,0,16,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
7.0,0,16,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
8.0,0,16,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
9.0,0,18,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
10.0,0,18,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_0,rl_policy_v3,,,
11.0,1,18,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_1,rl_policy_v3,,,
12.0,1,20,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_1,rl_policy_v3,,,
13.0,1,20,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_1,rl_policy_v3,,,
14.0,2,20,0.0,0.0,3,0.0,3,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
15.0,2,19,0.0,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
16.0,2,16,0.0,0.0,3,0.0,2,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
17.0,2,16,0.0,0.0,3,0.0,2,0.0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
18.0,2,15,0.0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
19.0,2,16,0.0,0.0,2,0.0,1,0.0,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
20.0,2,16,0.0,0.0,2,0.0,1,0.0,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
21.0,2,16,1.0,0.062,1,0.0,1,0.0,2,0.0,2,0.0,0,0,0,0,0.0,0.0,1.0,0,phase_2,rl_policy_v3,,,
22.0,2,18,2.0,0.111,1,0.0,1,0.0,2,0.0,2,0.0,0,0,0,0,0.0,0.0,2.0,0,phase_2,rl_policy_v3,,,
23.0,2,18,4.0,0.222,1,0.0,1,0.0,2,0.0,2,0.0,0,0,0,0,0.0,0.0,4.0,0,phase_2,rl_policy_v3,,,
24.0,2,19,6.0,0.316,1,0.0,1,0.0,2,0.0,3,0.0,0,0,0,0,0.0,0.0,6.0,0,phase_2,rl_policy_v3,,,
25.0,2,20,8.0,0.4,2,0.0,2,0.0,2,0.0,3,0.0,0,0,0,0,0.0,0.0,8.0,0,phase_2,rl_policy_v3,,,
26.0,2,20,11.0,0.55,2,0.0,2,0.0,2,0.0,3,0.0,0,0,0,0,0.0,0.0,11.0,0,phase_2,rl_policy_v3,,,
27.0,2,21,14.0,0.667,2,0.0,2,0.0,2,0.0,4,0.0,0,0,0,0,0.0,0.0,14.0,0,phase_2,rl_policy_v3,,,
28.0,2,21,18.0,0.857,2,0.0,2,0.0,2,0.0,4,0.0,0,0,0,0,0.0,0.0,18.0,0,phase_2,rl_policy_v3,,,
29.0,2,20,23.0,1.15,2,0.0,2,0.0,2,0.0,4,0.0,0,0,0,0,0.0,0.0,23.0,0,phase_2,rl_policy_v3,,,
30.0,2,20,28.0,1.4,2,0.0,2,0.0,2,0.0,4,0.0,0,0,0,0,0.0,0.0,28.0,0,phase_2,rl_policy_v3,,,
31.0,2,21,22.0,1.048,2,0.0,2,0.0,2,0.0,5,0.0,0,0,0,0,0.0,0.0,22.0,0,phase_2,rl_policy_v3,,,
32.0,3,23,16.0,0.696,2,0.0,2,0.0,2,0.0,5,0.0,0,0,0,0,0.0,0.0,16.0,0,phase_3,rl_policy_v3,,,
33.0,3,23,12.0,0.522,2,0.0,2,0.0,2,0.0,5,0.0,0,0,0,0,0.0,0.0,12.0,0,phase_3,rl_policy_v3,,,
34.0,3,22,8.0,0.364,2,0.0,2,0.0,2,0.0,5,0.0,0,0,0,0,0.0,0.0,8.0,0,phase_3,rl_policy_v3,,,
35.0,0,23,3.0,0.13,2,0.0,2,0.0,2,0.0,6,0.0,0,0,0,0,0.0,0.0,3.0,0,phase_0,rl_policy_v3,,,
36.0,0,23,5.0,0.217,2,0.0,2,0.0,2,0.0,6,0.0,0,0,0,0,0.0,0.0,5.0,0,phase_0,rl_policy_v3,,,
37.0,0,24,8.0,0.333,2,0.0,2,0.0,2,0.0,6,0.0,0,0,0,0,0.0,0.0,8.0,0,phase_0,rl_policy_v3,,,
38.0,0,25,12.0,0.48,2,0.0,2,0.0,2,0.0,7,0.0,0,0,0,0,0.0,0.0,12.0,0,phase_0,rl_policy_v3,,,
39.0,0,24,10.0,0.417,2,0.0,2,0.0,2,0.0,7,0.0,0,0,0,0,0.0,0.0,10.0,0,phase_0,rl_policy_v3,,,
40.0,0,24,15.0,0.625,2,0.0,2,0.0,2,0.0,7,0.0,0,0,0,0,0.0,0.0,15.0,0,phase_0,rl_policy_v3,,,
41.0,0,24,15.0,0.625,2,1.0,2,0.0,2,0.0,7,0.0,0,0,0,0,0.0,1.0,14.0,0,phase_0,rl_policy_v3,,,
42.0,0,25,15.0,0.6,2,2.0,2,1.0,2,0.0,8,0.0,0,0,0,0,0.0,3.0,12.0,0,phase_0,rl_policy_v3,,,
43.0,0,26,14.0,0.538,2,3.0,2,2.0,2,0.0,8,0.0,0,0,0,0,0.0,5.0,9.0,0,phase_0,rl_policy_v3,,,
44.0,0,27,13.0,0.481,2,4.0,2,3.0,2,0.0,9,0.0,0,0,0,0,0.0,7.0,6.0,0,phase_0,rl_policy_v3,,,
45.0,1,27,11.0,0.407,2,5.0,2,4.0,2,0.0,9,0.0,0,0,0,0,0.0,9.0,2.0,0,phase_1,rl_policy_v3,,,
46.0,1,26,11.0,0.423,2,6.0,2,5.0,2,0.0,9,0.0,0,0,0,0,0.0,11.0,0.0,0,phase_1,rl_policy_v3,,,
47.0,1,26,13.0,0.5,2,7.0,2,6.0,2,0.0,9,0.0,0,0,0,0,0.0,13.0,0.0,0,phase_1,rl_policy_v3,,,
48.0,2,23,0.0,0.0,1,0.0,1,0.0,2,0.0,9,0.0,0,0,0,0,0.0,0.0,0.0,0,phase_2,rl_policy_v3,,,
